2019-07-22 09:27:58,339 1 battery -237
2019-07-22 09:27:58,339 31 battery 32
2019-07-22 09:27:58,340 31 battery -305
2019-07-22 09:27:58,340 10 battery 32
2019-07-22 09:27:58,340 10 battery -305
2019-07-22 09:27:58,340 11 battery 32
2019-07-22 09:27:58,340 2 battery -237
2019-07-22 09:27:58,340 3 battery 32
2019-07-22 09:27:58,340 3 battery -305
2019-07-22 09:27:58,340 32 battery 32
2019-07-22 09:27:58,340 32 battery -305
2019-07-22 09:27:58,340 11 battery -35
2019-07-22 09:27:58,340 3 battery -642
2019-07-22 09:27:58,340 32 battery -372
2019-07-22 09:27:58,340 32 battery -710
2019-07-22 09:27:58,340 11 battery -102
2019-07-22 09:27:58,340 4 battery -237
2019-07-22 09:27:58,340 32 battery -777
2019-07-22 09:27:58,340 32 battery -1115
2019-07-22 09:27:58,340 11 battery -170
2019-07-22 09:27:58,341 5 battery -237
2019-07-22 09:27:58,341 12 battery 32
2019-07-22 09:27:58,341 6 battery -237
2019-07-22 09:27:58,341 33 battery 32
2019-07-22 09:27:58,341 33 battery -305
2019-07-22 09:27:58,341 13 battery 32
2019-07-22 09:27:58,341 7 battery -237
2019-07-22 09:27:58,341 14 battery 32
2019-07-22 09:27:58,341 14 battery -305
2019-07-22 09:27:58,341 37 battery 100
2019-07-22 09:27:58,341 37 battery 100
2019-07-22 09:27:58,341 37 battery 100
2019-07-22 09:27:58,341 37 battery 100
2019-07-22 09:27:58,341 37 battery 100
2019-07-22 09:27:58,341 37 battery 100
2019-07-22 09:27:58,341 37 battery 100
2019-07-22 09:27:58,341 37 battery 100
2019-07-22 09:27:58,341 37 battery 100
2019-07-22 09:27:58,341 37 battery 100
2019-07-22 09:27:58,341 37 battery 100
2019-07-22 09:27:58,341 37 battery 100
2019-07-22 09:27:58,341 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,342 37 battery 100
2019-07-22 09:27:58,343 37 battery 100
